Date,Name,Year,Letterboxd URI
2025-01-24,Babygirl,2024,https://boxd.it/Fvai
2025-01-24,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-01-24,Paddington,2014,https://boxd.it/3RKw
2025-01-24,Before Sunset,2004,https://boxd.it/2bcg
2025-01-24,Licorice Pizza,2021,https://boxd.it/qTKY
2025-01-24,The Irishman,2019,https://boxd.it/dYOq
2025-01-24,Aliens,1986,https://boxd.it/29PA
2025-01-24,Akira,1988,https://boxd.it/2b1i
2025-01-24,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk
2025-01-24,The Hateful Eight,2015,https://boxd.it/8gw8
2025-01-24,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs
2025-01-24,"tick, tick... BOOM!",2021,https://boxd.it/jz2e
2025-01-24,Manchester by the Sea,2016,https://boxd.it/b2L0
2025-01-24,Godzilla Minus One,2023,https://boxd.it/zu4c
2025-01-24,Five Nights at Freddy's,2023,https://boxd.it/ikHu
2025-01-24,Trainspotting,1996,https://boxd.it/29XY
2025-01-24,Alien: Romulus,2024,https://boxd.it/zGqO
2025-01-24,The Whale,2022,https://boxd.it/tw4c
2025-01-24,Asteroid City,2023,https://boxd.it/s3ds
2025-01-24,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2025-01-24,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2025-01-24,Oldboy,2003,https://boxd.it/29R2
2025-01-24,Before Sunrise,1995,https://boxd.it/2bcU
2025-01-24,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2025-01-24,Drive,2011,https://boxd.it/IG
2025-01-24,Inside Out 2,2024,https://boxd.it/CFrC
2025-01-24,Call Me by Your Name,2017,https://boxd.it/dYmm
2025-01-24,Lady Bird,2017,https://boxd.it/dGNE
2025-01-24,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2025-03-01,Okja,2017,https://boxd.it/dvXe
2025-05-05,Malevolent,2018,https://boxd.it/hijI
2025-05-05,The Laundromat,2019,https://boxd.it/iLUK
2025-05-05,Side Effects,2013,https://boxd.it/3GA6
