Date,Name,Year,Letterboxd URI
2025-01-23,Barbie,2023,https://boxd.it/bCLK
2025-01-23,Oppenheimer,2023,https://boxd.it/wUow
2025-01-23,Joker,2019,https://boxd.it/h4cS
2025-01-23,Get Out,2017,https://boxd.it/eOCm
2025-01-23,Midsommar,2019,https://boxd.it/jhxe
2025-01-23,The Batman,2022,https://boxd.it/eDGs
2025-01-23,The Truman Show,1998,https://boxd.it/18U8
2025-01-23,Knives Out,2019,https://boxd.it/jWEA
2025-01-23,The Dark Knight,2008,https://boxd.it/2b0k
2025-01-23,Inception,2010,https://boxd.it/1skk
2025-01-23,American Psycho,2000,https://boxd.it/28Vs
2025-01-23,Poor Things,2023,https://boxd.it/tNWU
2025-01-23,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2025-01-23,Spirited Away,2001,https://boxd.it/2b4m
2025-01-23,Challengers,2024,https://boxd.it/zld0
2025-01-23,The Menu,2022,https://boxd.it/lScm
2025-01-23,Gone Girl,2014,https://boxd.it/6hQu
2025-01-23,Black Swan,2010,https://boxd.it/Sw0
2025-01-23,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2025-01-23,Forrest Gump,1994,https://boxd.it/728
2025-01-23,Dead Poets Society,1989,https://boxd.it/2aSg
2025-01-23,Inglourious Basterds,2009,https://boxd.it/1JzG
2025-01-23,The Silence of the Lambs,1991,https://boxd.it/2aHW
2025-01-23,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-01-23,Shutter Island,2010,https://boxd.it/1U82
2025-01-23,Ratatouille,2007,https://boxd.it/27ww
2025-01-23,Django Unchained,2012,https://boxd.it/2cCk
2025-01-23,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-01-23,Deadpool & Wolverine,2024,https://boxd.it/jq8s
2025-01-23,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2025-01-23,Glass Onion,2022,https://boxd.it/oCkK
2025-01-23,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-01-23,The Social Network,2010,https://boxd.it/17ue
2025-01-23,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2025-01-23,Taxi Driver,1976,https://boxd.it/2b8y
2025-01-23,Inside Out,2015,https://boxd.it/4KHC
2025-01-23,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2025-01-23,The Shawshank Redemption,1994,https://boxd.it/2aHi
2025-01-23,Hereditary,2018,https://boxd.it/hNVe
2025-01-23,Donnie Darko,2001,https://boxd.it/2b2A
2025-01-23,Arrival,2016,https://boxd.it/aNGk
2025-01-23,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2025-01-23,Titanic,1997,https://boxd.it/2a2k
2025-01-23,Mean Girls,2004,https://boxd.it/1VNg
2025-01-23,Coco,2017,https://boxd.it/bYJQ
2025-01-23,Coraline,2009,https://boxd.it/1NhQ
2025-01-23,Deadpool,2016,https://boxd.it/9fOC
2025-01-23,Black Panther,2018,https://boxd.it/8MHs
2025-01-23,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy
2025-01-23,Up,2009,https://boxd.it/1OEc
2025-01-23,Little Miss Sunshine,2006,https://boxd.it/29EW
2025-01-23,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2025-01-23,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2025-01-23,The Hunger Games,2012,https://boxd.it/2uds
2025-01-23,Back to the Future,1985,https://boxd.it/2b8e
2025-01-23,Don't Look Up,2021,https://boxd.it/o0Hc
2025-01-23,Star Wars,1977,https://boxd.it/72s
2025-01-23,X,2022,https://boxd.it/sxVa
2025-01-23,WALL·E,2008,https://boxd.it/1VEo
2025-01-23,Soul,2020,https://boxd.it/ioLA
2025-01-23,Avatar: The Way of Water,2022,https://boxd.it/2E2E
2025-01-23,The Breakfast Club,1985,https://boxd.it/27q4
2025-01-23,Home Alone,1990,https://boxd.it/29Fg
2025-01-23,Avatar,2009,https://boxd.it/1Efm
